Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,17600.000000,17600.000000,17600.000000,17600.000000,9815.918945,0
2015-01-02,17600.000000,17600.000000,17600.000000,17600.000000,9815.918945,90901
2015-01-05,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,50000
2015-01-06,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,0
2015-01-07,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,38000
2015-01-08,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,76289
2015-01-09,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,34197
2015-01-12,17600.000000,17600.000000,17600.000000,17600.000000,9815.918945,0
2015-01-13,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,388
2015-01-14,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,388
2015-01-15,17400.000000,17400.000000,17400.000000,17400.000000,9704.375000,1002
2015-01-16,17100.000000,17100.000000,17100.000000,17100.000000,9537.058594,1931
2015-01-19,17100.000000,17100.000000,17100.000000,17100.000000,9537.058594,0
2015-01-20,17380.000000,17380.000000,17380.000000,17380.000000,9693.220703,4299
2015-01-21,17380.000000,17400.000000,17380.000000,17380.000000,9693.220703,100000
2015-01-22,17380.000000,17380.000000,17380.000000,17380.000000,9693.220703,0
2015-01-23,17380.000000,17380.000000,17380.000000,17380.000000,9693.220703,0
2015-01-26,17380.000000,17380.000000,17380.000000,17380.000000,9693.220703,0
2015-01-27,17380.000000,17380.000000,17380.000000,17380.000000,9693.220703,0
2015-01-28,17200.000000,17200.000000,17200.000000,17200.000000,9592.831055,2096
2015-01-29,17200.000000,17200.000000,17200.000000,17200.000000,9592.831055,8315
2015-01-30,17200.000000,17200.000000,17200.000000,17200.000000,9592.831055,0
2015-02-02,17000.000000,17000.000000,17000.000000,17000.000000,9481.286133,5400
2015-02-03,17000.000000,17000.000000,17000.000000,17000.000000,9481.286133,0
2015-02-04,17140.000000,17140.000000,17140.000000,17140.000000,9559.367188,2379
2015-02-05,17000.000000,17000.000000,16980.000000,17000.000000,9481.286133,18176
