Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4409,Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,0.42,0.0,0.0,0.03,0.45
12367,Legend of Kay,DS,2010,Action,JoWood Productions,0.06,0.0,0.0,0.0,0.06
6223,Guitar Hero: Van Halen,PS3,2009,Misc,Activision,0.14,0.09,0.0,0.04,0.28
12998,Rally Fusion: Race of Champions,XB,2002,Racing,Activision,0.04,0.01,0.0,0.0,0.05
1318,Diablo III,X360,2013,Role-Playing,Activision,0.89,0.44,0.0,0.12,1.45
4069,Bass Pro Shops: The Strike,Wii,2009,Sports,XS Games,0.45,0.0,0.0,0.03,0.49
1738,Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.17
5443,Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33
5368,Freeway,2600,1980,Action,Activision,0.32,0.02,0.0,0.0,0.34
3964,Blue's Clues: Blue's Big Musical,PS,2001,Misc,THQ,0.28,0.19,0.0,0.03,0.5
314,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
8681,Birds of Steel,X360,2012,Simulation,Konami Digital Entertainment,0.11,0.04,0.0,0.01,0.16
8471,PoPoLoCrois: Hajimari no Bouken,PS2,2002,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.16,0.0,0.16
13254,Dynasty Warriors Vol. 2,PSP,2006,Action,Tecmo Koei,0.04,0.0,0.0,0.0,0.05
11380,Iron Man / X-O Manowar in Heavy Metal,PS,1996,Platform,Acclaim Entertainment,0.05,0.03,0.0,0.01,0.08
13219,World Series of Poker,GC,2005,Misc,Activision Value,0.04,0.01,0.0,0.0,0.05
10538,Football Director DS,DS,2008,Sports,Pinnacle,0.0,0.1,0.0,0.0,0.1
5069,EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.38
16348,Ultimate Board Game Collection,PS2,2006,Misc,Xplosiv,0.01,0.0,0.0,0.0,0.01
9284,Learn Math,DS,2009,Puzzle,DreamCatcher Interactive,0.13,0.0,0.0,0.01,0.14
1989,The Simpsons Game,X360,2007,Action,Electronic Arts,0.54,0.4,0.0,0.11,1.05
1841,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
7886,Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.14,0.05,0.0,0.0,0.19
13589,Free Running,Wii,2009,Sports,Reef Entertainment,0.02,0.02,0.0,0.0,0.04
5478,Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.3,0.0,0.0,0.03,0.33
7253,NBA Live 09 All-Play,Wii,2008,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22
5877,Wacky Races: Crash & Dash,Wii,2008,Racing,Eidos Interactive,0.27,0.01,0.0,0.02,0.3
2446,Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
3206,Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
13246,Crime Life: Gang Wars,XB,2005,Action,Konami Digital Entertainment,0.04,0.01,0.0,0.0,0.05
8897,Curious George,GC,2006,Action,Namco Bandai Games,0.11,0.03,0.0,0.0,0.15
8299,Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,0.0,0.0,0.16,0.01,0.17
1714,WWE '12,PS3,2011,Fighting,THQ,0.53,0.46,0.02,0.17,1.18
14618,Nisekoi: Yomeiri!?,PSV,2014,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
6426,Jikkyou Powerful Pro Yakyuu 2010,PS3,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27
10426,Pro Yaky? Spirits 2010,PS2,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1
866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97
2359,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
14099,Luminous Arc 3,DS,2009,Role-Playing,Marvelous Interactive,0.0,0.0,0.04,0.0,0.04
13731,Gal*Gun,X360,2011,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04
11178,Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,PS,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.01,0.09
7411,Brunswick Pro Bowling,PSP,2007,Sports,505 Games,0.19,0.0,0.0,0.02,0.21
15011,George of the Jungle and the Search for the Secret,Wii,2008,Platform,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02
13221,Super Jinsei Game 2,SNES,1995,Misc,Takara,0.0,0.0,0.05,0.0,0.05
8478,Alien Resurrection,PS,2000,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16
878,Def Jam Vendetta,PS2,2003,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94
16154,SoulCalibur Legends (JP sales),Wii,2007,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
3896,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0.0,0.05,0.51
2734,WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ,0.41,0.21,0.0,0.14,0.75
11080,Tornado Outbreak,PS3,2009,Action,Konami Digital Entertainment,0.08,0.0,0.0,0.01,0.09
1118,Tom Clancy's Rainbow Six,PS,1999,Shooter,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.64
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,0.93,1.12,0.08,0.45,2.59
2586,Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8
14489,Pop'n Music 14 Fever!,PS2,2007,Misc,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
3800,Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios,0.27,0.21,0.0,0.05,0.53
3981,Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5
14102,Rebel Raiders: Operation Nighthawk,PS2,2006,Simulation,Kando Games,0.02,0.01,0.0,0.0,0.03
1875,Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09
4912,LocoRoco,PSP,2006,Platform,Sony Computer Entertainment,0.14,0.05,0.16,0.04,0.39
475,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99
11717,Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0.0,0.0,0.0,0.08
343,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
4268,EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0.0,0.04,0.46
2787,Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0.0,0.03,0.74
9206,Disney's Chicken Little,XB,2005,Platform,Disney Interactive Studios,0.1,0.03,0.0,0.0,0.14
4562,Bakugan: Battle Brawlers,PS2,2009,Action,Activision,0.21,0.16,0.0,0.05,0.43
10140,Criminal Girls: Invite Only,PSV,2013,Role-Playing,Nippon Ichi Software,0.04,0.02,0.04,0.02,0.11
3606,Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56
6619,Journey,PS3,2012,Adventure,Sony Computer Entertainment Europe,0.04,0.15,0.0,0.06,0.25
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
15512,Mushihimesama,X360,2012,Action,Cave,0.0,0.0,0.02,0.0,0.02
3160,Rayman 2: The Great Escape,N64,1999,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64
7672,Spore Hero Arena,DS,2009,Simulation,Electronic Arts,0.18,0.0,0.0,0.01,0.2
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,N/A,Fighting,Unknown,0.0,0.0,0.03,0.0,0.03
14361,Gal Gun: Double Peace,PSV,2015,Action,PQube,0.0,0.02,0.01,0.0,0.03
10478,Nicktoons: MLB,DS,2011,Sports,Take-Two Interactive,0.1,0.0,0.0,0.01,0.1
7954,Super Real Mahjong P V,SAT,1995,Misc,Seta Corporation,0.0,0.0,0.19,0.0,0.19
2105,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99
12220,Gundam Try Age SP,3DS,2014,Strategy,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
8652,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009,Sports,Sega,0.0,0.0,0.16,0.0,0.16
1921,Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0.0,0.15,1.07
685,Mario Tennis,N64,2000,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32
507,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.53,0.16,0.0,0.17,2.86
4622,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,2003,Action,THQ,0.21,0.16,0.0,0.05,0.42
2566,Who wants to be a millionaire,PS,2000,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8
13619,Hana to Ikimo no Rittai Zukan,3DS,2011,Misc,Nintendo,0.0,0.0,0.04,0.0,0.04
13880,Stolen,PS2,2005,Action,Hip Interactive,0.02,0.01,0.0,0.0,0.04
5809,Skylanders SWAP Force,XOne,2013,Platform,Activision,0.22,0.06,0.0,0.02,0.31
8817,World Series Baseball 2K3,XB,2003,Sports,Sega,0.11,0.03,0.0,0.01,0.15
3997,Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.5
4217,We Sing Encore,Wii,2010,Misc,Nordic Games,0.0,0.41,0.0,0.06,0.47
9385,Kurt Warner's Arena Football Unleashed,PS,2000,Sports,Midway Games,0.07,0.05,0.0,0.01,0.13
11329,The Seven Deadly Sins: Unjust Sin,3DS,2015,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
14766,Infinite Stratos 2: Ignition Hearts,PS3,2014,Adventure,5pb,0.0,0.0,0.03,0.0,0.03
6762,Sorry! / Aggravation / Scrabble Junior,GBA,2005,Misc,Zoo Digital Publishing,0.18,0.07,0.0,0.0,0.25
2830,FIFA Soccer 13,Wii,2012,Action,Electronic Arts,0.19,0.46,0.0,0.08,0.72
16257,Goku Makaimura Kai,PSP,2007,Platform,Capcom,0.0,0.0,0.01,0.0,0.01
571,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,1.15,1.11,0.0,0.4,2.65
2588,PES 2009: Pro Evolution Soccer,PSP,N/A,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8
8257,Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.02,0.17
13169,Empire Earth,PC,2001,Strategy,Vivendi Games,0.0,0.04,0.0,0.01,0.05
4034,Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.15,0.07,0.03,0.49
14660,Mega Minis Volume 2,PSP,2011,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03
3133,Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.17,0.04,0.4,0.03,0.65
4975,Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39
5950,FIFA Street 3,X360,2008,Sports,Electronic Arts,0.12,0.14,0.0,0.03,0.3
15815,Tsuyo Kiss 2 Gakki: Swift Love,PS2,2009,Adventure,Revolution (Japan),0.0,0.0,0.02,0.0,0.02
4517,Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0.0,0.07,0.43
12097,Secret Files: Tunguska,Wii,2008,Adventure,Koch Media,0.05,0.02,0.0,0.01,0.07
12951,Persona 2: Eternal Punishment,PSP,2012,Role-Playing,Atlus,0.0,0.0,0.05,0.0,0.05
