Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7008,Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,Play It,0.2,0.01,0.0,0.02,0.23
4811,The Incredibles: Rise of the Underminer,GBA,2005,Action,THQ,0.29,0.11,0.0,0.01,0.4
477,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.47,1.0,1.39,0.12,2.98
7271,Rugby 2004,PS2,2003,Sports,Electronic Arts,0.11,0.08,0.0,0.03,0.22
15774,Root Infinity Rexx,PSV,2015,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
14399,Otomedius Gorgeous,X360,2008,Shooter,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
5040,Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,0.34,0.02,0.0,0.02,0.38
669,Tony Hawk's Underground 2,PS2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37
3208,Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0.0,0.05,0.63
15670,Pulse Racer,XB,2003,Racing,Jaleco,0.01,0.0,0.0,0.0,0.02
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
8634,Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0.0,0.09,0.01,0.16
923,Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87
7773,Quantum Theory,PS3,2010,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,0.19
6225,Madagascar,XB,2005,Platform,Activision,0.21,0.06,0.0,0.01,0.28
16586,Carmageddon 64,N64,1999,Action,Virgin Interactive,0.01,0.0,0.0,0.0,0.01
6010,Imagine: Fashion Designer World Tour,DS,2009,Simulation,Ubisoft,0.27,0.0,0.0,0.02,0.29
12016,Gintama DS: Yorozuya Daisoudou,DS,2006,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
5032,Mobile Suit Gundam version 2.0,PS,1996,Action,Namco Bandai Games,0.0,0.0,0.36,0.02,0.38
2894,Jeopardy!,PS,1997,Misc,Hasbro Interactive,0.39,0.27,0.0,0.05,0.71
12214,National Geographic Challenge!,X360,N/A,Misc,Unknown,0.06,0.0,0.0,0.0,0.07
9176,Gyakuten Saiban 2,GBA,2002,Action,Capcom,0.0,0.0,0.14,0.0,0.14
14027,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,2006,Adventure,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
9078,Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14
6073,Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.03,0.29
12316,Rayman: Hoodlum's Revenge,GBA,2005,Platform,Ubisoft,0.05,0.02,0.0,0.0,0.06
9468,Sally's Salon,DS,2008,Simulation,Capcom,0.12,0.0,0.0,0.01,0.13
6403,Rock Revolution,PS3,N/A,Misc,Unknown,0.25,0.0,0.0,0.02,0.27
7751,Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.07,0.0,0.03,0.19
2675,Conker's Bad Fur Day,N64,2001,Platform,THQ,0.53,0.22,0.0,0.02,0.77
1127,Pikmin,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
248,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
9249,Littlest Pet Shop: Spring,DS,2009,Simulation,Electronic Arts,0.12,0.0,0.0,0.01,0.14
13183,Operation Flashpoint: Dragon Rising,PC,2009,Shooter,Codemasters,0.01,0.03,0.0,0.01,0.05
9200,Master Jin Jin's IQ Challenge,DS,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14
11171,ShellShock 2: Blood Trails,X360,2009,Shooter,Eidos Interactive,0.05,0.03,0.0,0.01,0.09
15552,Miyako,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
1661,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21
8568,Intellivision Lives!,PS2,2003,Misc,Play It,0.08,0.06,0.0,0.02,0.16
838,Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.53,0.25,0.0,0.25,2.03
