Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6983,Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23
6030,Ken Griffey Jr.'s Slugfest,N64,1999,Sports,Nintendo,0.23,0.06,0.0,0.0,0.29
16564,Kanokon: Esuii,PS2,2008,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
6365,Jikkyou Powerful Pro Yakyuu 2,SNES,1995,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27
7903,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0.0,0.18,0.0,0.01,0.19
3676,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.31,0.0,0.21,0.03,0.55
6118,Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0.0,0.02,0.28
5264,Shrek,XB,2001,Platform,TDK Mediactive,0.25,0.1,0.0,0.01,0.36
14771,Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,Action,Vivendi Games,0.02,0.01,0.0,0.0,0.03
10914,Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.05,0.0,0.02,0.09
265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
14504,Hudson x GReeeeN Live!? DeeeeS!?,DS,2010,Misc,Hudson Soft,0.0,0.0,0.03,0.0,0.03
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
500,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89
11112,Battle Stadium D.O.N,GC,2006,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
15749,Summer Challenge: Athletics Tournament,Wii,2011,Sports,PQube,0.0,0.01,0.0,0.0,0.02
10764,Heatseeker,Wii,2007,Action,Codemasters,0.08,0.0,0.0,0.01,0.1
12498,Remember Me,PC,2013,Action,Capcom,0.0,0.05,0.0,0.01,0.06
16600,Spirits & Spells,GBA,2003,Platform,Wanadoo,0.01,0.0,0.0,0.0,0.01
14815,CID The Dummy,Wii,2009,Platform,Oxygen Interactive,0.02,0.0,0.0,0.0,0.03
5485,Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,0.26,0.07,0.0,0.01,0.33
9661,Sonic Jam,SAT,1997,Platform,Sega,0.0,0.0,0.12,0.0,0.12
7174,Ford vs. Chevy,PS2,2005,Racing,Global Star,0.11,0.09,0.0,0.03,0.22
3921,R.U.S.E.,PS3,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51
1459,Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
8550,NPPL: Championship Paintball 2009,PS3,2008,Shooter,Activision Value,0.15,0.0,0.0,0.01,0.16
2950,Moto Racer 2,PS,1997,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69
6585,Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.26
5302,Hannah Montana: The Movie,Wii,2009,Adventure,Disney Interactive Studios,0.13,0.18,0.0,0.04,0.35
