Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13441,Gray Matter,X360,2011,Adventure,DTP Entertainment,0.0,0.04,0.0,0.01,0.05
615,PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5
5523,Elebits,Wii,2006,Action,Konami Digital Entertainment,0.22,0.01,0.08,0.02,0.33
12883,FIFA Soccer 2003,GBA,2002,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05
13843,Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010,Adventure,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83
9233,Football Manager 2012,PSP,2011,Sports,Sega,0.0,0.1,0.0,0.04,0.14
4667,Mega Man Legends 2,PS,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42
15648,PDC World Championship Darts 2009,Wii,2009,Sports,Oxygen Interactive,0.0,0.02,0.0,0.0,0.02
6550,Crash Nitro Kart,GC,2003,Racing,Vivendi Games,0.2,0.05,0.0,0.01,0.26
13094,Super Heroine Chronicle,PSV,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
3895,Pro Evolution Soccer 2010,Wii,2009,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.51
5330,Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67
4486,Tongari Boushi to Mahou no Otana,DS,2010,Simulation,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44
15831,The Haunted: Hell's Reach,PC,2011,Shooter,Visco,0.02,0.0,0.0,0.0,0.02
4510,NCAA Football 2004,XB,2003,Sports,Electronic Arts,0.4,0.02,0.0,0.02,0.43
4778,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009,Misc,Mentor Interactive,0.38,0.0,0.0,0.03,0.41
10291,ATV: Quad Frenzy,DS,2005,Racing,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11
10901,Scooby-Doo! Unmasked,DS,2005,Platform,THQ,0.07,0.02,0.0,0.01,0.09
10946,Tom Clancy's EndWar,DS,2008,Strategy,Ubisoft,0.08,0.01,0.0,0.01,0.09
10335,Blades of Time,X360,2012,Action,Konami Digital Entertainment,0.07,0.03,0.0,0.01,0.11
5993,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29
4520,InuYasha: The Secret of the Cursed Mask,PS2,2004,Role-Playing,Namco Bandai Games,0.21,0.17,0.0,0.06,0.43
2695,MTV Celebrity Deathmatch,PS2,2003,Fighting,Gotham Games,0.37,0.29,0.0,0.1,0.76
8942,Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15
8010,Close Combat: First to Fight,XB,2005,Shooter,Take-Two Interactive,0.14,0.04,0.0,0.01,0.18
11706,Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.05,0.01,0.0,0.01,0.08
9800,Looney Tunes: Sheep Raider,PS,2001,Platform,Infogrames,0.07,0.05,0.0,0.01,0.12
3291,Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61
16035,Shinobi Koutsutsu,PSP,2014,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
13717,Haunted Casino,SAT,1996,Adventure,Societa,0.0,0.0,0.04,0.0,0.04
6936,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24
16008,Sengoku Hime: Senran ni Mau Otometachi,PSP,2009,Adventure,Yeti,0.0,0.0,0.01,0.0,0.01
14379,Eyeshield 21: Field Saikyou no Senshi Tachi,Wii,2007,Role-Playing,Nintendo,0.0,0.0,0.03,0.0,0.03
6912,Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0.0,0.02,0.24
10990,Sound Novel Machi,SAT,1998,Adventure,ChunSoft,0.0,0.0,0.09,0.0,0.09
7540,Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.05,0.08,0.02,0.2
3613,Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56
5981,Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,Adventure,505 Games,0.02,0.02,0.25,0.01,0.29
15525,WRC 2: FIA World Rally Championship,PC,2011,Racing,Ubisoft,0.0,0.01,0.0,0.0,0.02
15556,Super Dodge Ball,NG,1995,Sports,Technos Japan Corporation,0.0,0.0,0.02,0.0,0.02
10271,The Scorpion King: Rise of the Akkadian,GC,2002,Action,Universal Interactive,0.08,0.02,0.0,0.0,0.11
