Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15507,Muchi Muchi Pork & Pink Sweets,X360,2011,Shooter,Cave,0.0,0.0,0.02,0.0,0.02
14956,Cold War,XB,2005,Shooter,DreamCatcher Interactive,0.02,0.01,0.0,0.0,0.02
12538,Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,Sports,Activision Value,0.06,0.0,0.0,0.0,0.06
9099,Xevious 3D/G+,PS,1997,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14
11862,Squishy Tank,DS,2010,Puzzle,Natsume,0.07,0.0,0.0,0.0,0.07
4565,SEGA Classics Collection,PS2,2005,Misc,Sega,0.21,0.16,0.0,0.05,0.43
10227,Rock Band: Metal Track Pack,Wii,2009,Misc,MTV Games,0.1,0.0,0.0,0.01,0.11
5842,NES Remix,WiiU,2014,Action,Nintendo,0.2,0.0,0.08,0.02,0.3
11628,Endgame,PS2,2002,Shooter,Empire Interactive,0.04,0.03,0.0,0.01,0.08
4178,Hot Wheels Velocity X,PS2,2002,Racing,THQ,0.23,0.18,0.0,0.06,0.47
1069,Need For Speed: Undercover,X360,2008,Racing,Electronic Arts,0.79,0.71,0.01,0.18,1.69
6908,Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,0.17,0.06,0.0,0.0,0.24
3231,NHL 2001,PS,2000,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63
13667,GRID,PC,N/A,Racing,Codemasters,0.0,0.03,0.0,0.01,0.04
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
4188,Bomberman Hero,N64,1998,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47
10390,Warriors Orochi 3,PSP,2012,Action,Ubisoft Annecy,0.0,0.0,0.11,0.0,0.11
1017,Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74
2189,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0.0,0.1,0.95
14220,Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,PS2,2007,Misc,Hackberry,0.0,0.0,0.03,0.0,0.03
13247,Tokimeki Memorial: Girls Side 1st Love,DS,2007,Adventure,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
2709,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2005,Role-Playing,Capcom,0.09,0.03,0.62,0.02,0.76
11170,Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005,Fighting,Sega,0.0,0.0,0.08,0.0,0.09
10982,Space Invaders Extreme,PSP,2008,Shooter,Square Enix,0.06,0.01,0.01,0.01,0.09
9163,International Cricket 2010,X360,2010,Sports,Codemasters,0.0,0.12,0.0,0.02,0.14
14143,Yggdra Union: We'll Never Fight Alone,GBA,2006,Role-Playing,Sting,0.0,0.0,0.03,0.0,0.03
1334,Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.79,0.53,0.0,0.13,1.44
8714,Wing Commander III: Heart of the Tiger,PS,1996,Action,Electronic Arts,0.09,0.06,0.0,0.01,0.16
14106,Fast & Furious: Showdown,PS3,2013,Action,Activision,0.0,0.03,0.0,0.0,0.03
9577,Spartan: Total Warrior,XB,2005,Action,Sega,0.1,0.03,0.0,0.0,0.13
4194,The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0.0,0.29,0.0,0.18,0.47
6956,Need For Speed: Undercover,DS,2008,Racing,Electronic Arts,0.18,0.03,0.0,0.02,0.23
9456,Eternal Poison (JP sales),PS2,2008,Role-Playing,Banpresto,0.0,0.0,0.13,0.0,0.13
10025,Final Fantasy III,PSP,2012,Role-Playing,Square Enix,0.0,0.0,0.11,0.0,0.11
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12
8241,Rapala Fishing Frenzy 2009,PS3,2008,Sports,Activision,0.16,0.0,0.0,0.01,0.17
10713,Project FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.0,0.0,0.1,0.0,0.1
4236,Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0.0,0.03,0.46
15800,Wall-E,PC,2008,Platform,THQ,0.0,0.01,0.0,0.0,0.02
8124,SingStar Motown,PS3,2009,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.02,0.18
10427,Princess Debut,DS,2008,Misc,Cave,0.1,0.0,0.0,0.01,0.1
14301,Elf Bowling 1 & 2,GBA,2005,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03
10770,NASCAR Unleashed,PS3,2011,Racing,Activision,0.09,0.0,0.0,0.01,0.1
