Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12354,Deathrow: Underground Team Combat,XB,2002,Sports,Ubisoft,0.05,0.01,0.0,0.0,0.06
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
8993,Metal Slug 7,DS,2008,Shooter,Ignition Entertainment,0.13,0.0,0.01,0.01,0.15
13896,Quiz Mobile Gundam: Toi Senshi DX,PSP,2006,Puzzle,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
10608,Sword & Sorcery,SAT,1996,Role-Playing,Micro Cabin,0.0,0.0,0.1,0.0,0.1
6099,Bratz: Super Babyz,DS,2008,Action,THQ,0.26,0.0,0.0,0.02,0.29
6627,Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,0.14,0.04,0.06,0.02,0.25
12562,Genkai Tokki: Moero Crystal,PSV,2015,Role-Playing,Compile Heart,0.0,0.0,0.06,0.0,0.06
10976,Island Xtreme Stunts,PS2,2002,Action,Electronic Arts,0.04,0.03,0.0,0.01,0.09
4336,Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,0.42,0.0,0.0,0.03,0.45
1375,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41
14964,Ikki Tousen: Eloquent Fist,PSP,2008,Fighting,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
5779,Shaun White Snowboarding,PS2,2008,Sports,Ubisoft,0.15,0.12,0.0,0.04,0.31
10702,Murder in Venice,DS,2011,Adventure,City Interactive,0.06,0.03,0.0,0.01,0.1
10334,The BIGS,PSP,2007,Sports,Take-Two Interactive,0.1,0.0,0.0,0.01,0.11
6515,Riding Spirits,PS2,2002,Racing,BAM! Entertainment,0.13,0.1,0.0,0.03,0.26
14764,Bigfoot King of Crush,Wii,2011,Racing,Zoo Games,0.02,0.0,0.0,0.0,0.03
7323,SingStar: Back to the 80s,PS3,2011,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21
10752,Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1
8954,Thor: God of Thunder,X360,2011,Action,Sega,0.09,0.04,0.0,0.01,0.15
3866,Front Mission 3,PS,1999,Strategy,SquareSoft,0.1,0.07,0.31,0.03,0.52
642,ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41
9659,Horse Life,DS,2007,Simulation,Game Life,0.09,0.02,0.0,0.01,0.13
924,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87
7821,Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,0.18,0.0,0.0,0.01,0.19
11966,Silent Hill: Origins,PS2,2008,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07
12964,Cities in Motion,PC,2011,Simulation,Paradox Interactive,0.0,0.04,0.0,0.01,0.05
6241,Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.1,0.02,0.04,0.28
9214,Cabela's African Safari,X360,2006,Sports,Activision Value,0.13,0.0,0.0,0.01,0.14
10840,Risen 3: Titan Lords,PC,2014,Role-Playing,Deep Silver,0.0,0.08,0.0,0.01,0.09
3819,Silent Hill: Origins,PSP,2007,Action,Konami Digital Entertainment,0.22,0.16,0.04,0.1,0.53
13535,Monster Trux Arenas: Special Edition,Wii,2007,Racing,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04
16380,Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,Destineer,0.01,0.0,0.0,0.0,0.01
11330,Armorines: Project S.W.A.R.M.,PS,2000,Shooter,Acclaim Entertainment,0.05,0.03,0.0,0.01,0.08
16293,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,2016,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
10411,Help Wanted: 50 Wacky Jobs,Wii,2008,Simulation,Hudson Soft,0.06,0.04,0.0,0.01,0.11
14972,Pony Luv,DS,2008,Simulation,GSP,0.02,0.0,0.0,0.0,0.02
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
10252,Pimp My Ride,X360,2006,Racing,Activision,0.1,0.01,0.0,0.01,0.11
16553,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
