Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2540,NASCAR 2001,PS,2000,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81
7004,Let's Make a Soccer Team!,PS2,2006,Sports,Sega,0.0,0.0,0.23,0.0,0.23
14204,Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
9787,Cel Damage,XB,2001,Racing,Electronic Arts,0.09,0.03,0.0,0.0,0.12
2304,Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
5011,Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,Atlus,0.0,0.0,0.38,0.0,0.38
785,Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11
955,Namco Museum,PS2,2001,Misc,Namco Bandai Games,1.73,0.07,0.0,0.02,1.82
1857,WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,0.44,0.46,0.01,0.18,1.1
15211,Steal Princess,DS,N/A,Platform,Unknown,0.02,0.0,0.0,0.0,0.02
15339,Kung Fu Panda: Showdown of Legendary Legends,3DS,2015,Action,Little Orbit,0.0,0.02,0.0,0.0,0.02
2348,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.81,0.0,0.01,0.07,0.89
8960,Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,Role-Playing,Atlus,0.0,0.0,0.14,0.01,0.15
13420,Sesame Street: Elmo's A-to-Zoo Adventure,PC,2010,Misc,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.0,0.05
6174,Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28
9186,Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015,Action,Capcom,0.0,0.0,0.14,0.0,0.14
12982,Pro Yakyuu Spirits 5 Kanzenban,PS2,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
1548,Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28
11586,Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08
1886,Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09
16188,Tantei Jinguuji Saburo: Hai to Diamond,PSP,2009,Adventure,Arc System Works,0.0,0.0,0.01,0.0,0.01
1762,Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.54,0.0,0.1,1.16
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
14354,Dance Factory,PS2,2006,Action,Codemasters,0.02,0.01,0.0,0.0,0.03
6999,Carnival Island,PS3,2011,Misc,Sony Computer Entertainment,0.13,0.06,0.0,0.04,0.23
15915,Evil Genius,PC,2004,Strategy,Vivendi Games,0.0,0.01,0.0,0.0,0.02
6766,How to Train Your Dragon 2,3DS,2014,Adventure,Little Orbit,0.04,0.19,0.0,0.02,0.25
1929,Super Princess Peach,DS,2005,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07
8058,Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18
7347,Wild Wild Racing,PS2,2000,Racing,Interplay,0.1,0.08,0.0,0.03,0.21
