Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14069,Sega Arcade Gallery,GBA,2003,Misc,THQ,0.03,0.01,0.0,0.0,0.04
6296,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.12,0.03,0.11,0.01,0.27
15071,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,Misc,D3Publisher,0.0,0.0,0.02,0.0,0.02
10727,The Land Before Time: Great Valley Racing Adventure,PS,2001,Racing,TDK Mediactive,0.05,0.04,0.0,0.01,0.1
15995,Bomberman (jp sales),PSP,2006,Puzzle,Konami Digital Entertainment,0.0,0.0,0.01,0.0,0.01
3746,Over the Hedge,PS2,2006,Platform,Activision,0.45,0.02,0.0,0.07,0.54
13421,Family Fortunes,DS,2009,Misc,Mindscape,0.0,0.04,0.0,0.0,0.05
14405,Zero Escape: Virtue's Last Reward,3DS,2012,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03
9646,Smash Court Tennis Pro Tournament 2,PS2,2004,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
1808,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
9507,Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
7375,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011,Strategy,Konami Digital Entertainment,0.1,0.03,0.07,0.01,0.21
16528,Blazer Drive,DS,2008,Role-Playing,Sega,0.0,0.0,0.01,0.0,0.01
666,Madden NFL 08,X360,2007,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37
10683,Kung Fu Panda 2,PS3,2011,Action,THQ,0.04,0.04,0.0,0.02,0.1
14624,Roadsters,PS,2000,Racing,Titus,0.02,0.01,0.0,0.0,0.03
11446,Bangai-O Spirits,DS,2008,Shooter,D3Publisher,0.07,0.0,0.0,0.01,0.08
16136,Collar x Malice,PSV,2016,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
12020,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
2119,Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
15198,Akai Ito DS,DS,2008,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
5591,Bratz: Girlz Really Rock,DS,2008,Action,THQ,0.18,0.11,0.0,0.03,0.32
13533,Resident Evil Director's Cut,PS3,2006,Action,Capcom,0.0,0.0,0.04,0.0,0.04
12941,Minna no Ennichi,3DS,2012,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
6549,Legaia 2: Duel Saga,PS2,2001,Role-Playing,Eidos Interactive,0.13,0.1,0.0,0.03,0.26
6171,Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0.0,0.23,0.0,0.05,0.28
2905,NHL 12,X360,2011,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7
14663,Kong: King of Atlantis,GBA,2005,Action,THQ,0.02,0.01,0.0,0.0,0.03
5427,Buzz! The Ultimate Music Quiz,PS3,2010,Misc,Sony Computer Entertainment,0.0,0.25,0.0,0.08,0.34
15343,Toki no Kizuna: Hanayui Tsuzuri,PSP,2013,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
2495,NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
4224,Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47
6407,Wipeout 2,DS,2011,Misc,Activision,0.25,0.0,0.0,0.02,0.27
11295,The Spiderwick Chronicles,DS,2008,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.08
7782,Space Invaders Extreme 2,DS,2009,Shooter,Square Enix,0.17,0.01,0.0,0.01,0.19
3157,LEGO Star Wars II: The Original Trilogy,X360,2006,Action,LucasArts,0.55,0.04,0.0,0.05,0.64
12069,Tom and Jerry in War of the Whiskers,GC,2003,Fighting,NewKidCo,0.05,0.01,0.0,0.0,0.07
10425,Contact,DS,2006,Role-Playing,Rising Star Games,0.07,0.0,0.03,0.01,0.1
16402,The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01
7133,Cars 2,3DS,2011,Racing,Disney Interactive Studios,0.21,0.0,0.0,0.02,0.23
9939,Rugrats: Totally Angelica,PS,2001,Adventure,THQ,0.06,0.04,0.0,0.01,0.12
12429,DreamWorks Super Star Kartz,X360,2011,Racing,Activision,0.05,0.01,0.0,0.0,0.06
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
14340,Rampo,SAT,1995,Adventure,Sega,0.0,0.0,0.03,0.0,0.03
1856,Petz Dogz 2,DS,2007,Simulation,Ubisoft,0.47,0.52,0.0,0.12,1.1
8784,Horse Life Adventures,Wii,2008,Simulation,Deep Silver,0.13,0.01,0.0,0.01,0.15
16140,Game Book DS: Sword World 2.0,DS,2009,Role-Playing,Broccoli,0.0,0.0,0.01,0.0,0.01
15365,F1 2002,GBA,2002,Racing,"Destination Software, Inc",0.01,0.01,0.0,0.0,0.02
2811,iCarly,DS,2009,Adventure,Activision,0.67,0.01,0.0,0.05,0.73
1953,Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06
6698,Def Jam Vendetta,GC,2003,Fighting,Electronic Arts,0.19,0.05,0.0,0.01,0.25
8808,Metal Slug Anthology,Wii,2006,Shooter,Ignition Entertainment,0.12,0.01,0.0,0.01,0.15
7941,Mathews Bowhunting,Wii,2010,Sports,Zoo Games,0.18,0.0,0.0,0.01,0.19
1593,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
7153,Ys Seven,PSP,2009,Role-Playing,Falcom Corporation,0.14,0.0,0.08,0.01,0.22
15314,The King of Fighters NeoWave,XB,2006,Fighting,SNK Playmore,0.02,0.0,0.0,0.0,0.02
8517,Hannah Montana: Rock Out the Show,PSP,2009,Misc,Disney Interactive Studios,0.13,0.01,0.0,0.02,0.16
7264,Kirby's Star Stacker,GB,1997,Puzzle,Nintendo,0.0,0.0,0.22,0.0,0.22
6093,Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.12,0.0,0.05,0.29
10705,Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007,Fighting,Takara Tomy,0.0,0.0,0.1,0.0,0.1
15199,Knight's Apprentice: Memorick's Adventures,XB,2004,Action,Microids,0.02,0.0,0.0,0.0,0.02
9525,Borderlands: Double Game Add-On Pack,X360,2010,Shooter,Take-Two Interactive,0.1,0.02,0.0,0.01,0.13
2505,Deca Sports 2,Wii,2009,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82
9522,Imagine: Fashion Designer,3DS,2011,Simulation,Ubisoft,0.1,0.02,0.0,0.01,0.13
14319,Toriko: Ultimate Survival,3DS,2013,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
5313,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,Action,THQ,0.25,0.09,0.0,0.01,0.35
7244,G.I. Joe: The Rise of Cobra,Wii,2009,Action,Electronic Arts,0.17,0.03,0.0,0.02,0.22
6342,Reader Rabbit Kindergarten,DS,2008,Misc,Nordic Games,0.25,0.0,0.0,0.02,0.27
14032,Jane's Hotel,DS,2010,Simulation,Unknown,0.03,0.0,0.0,0.0,0.04
11328,NHL 2K7,X360,2006,Sports,Take-Two Interactive,0.07,0.0,0.0,0.01,0.08
7322,Pandemonium!,PS,1996,Platform,BMG Interactive Entertainment,0.12,0.08,0.0,0.01,0.21
10216,Lunacy,SAT,1996,Adventure,Sega,0.0,0.0,0.11,0.0,0.11
4096,NFL Street 2,XB,2004,Sports,Electronic Arts,0.36,0.11,0.0,0.02,0.48
14306,Stacked with Daniel Negreanu,PSP,2006,Misc,Myelin Media,0.03,0.0,0.0,0.0,0.03
7400,Maximo vs Army of Zin,PS2,2003,Platform,Capcom,0.1,0.08,0.0,0.03,0.21
14271,YoKai Watch Dance: Just Dance Special Version,WiiU,2015,Misc,Level 5,0.0,0.0,0.03,0.0,0.03
