Date,meantemp,humidity,wind_speed,meanpressure
1/1/90,10,84.5,0,1015.666667
2/1/90,7.4,92,2.98,1017.8
3/1/90,7.166666667,87,4.633333333,1018.666667
4/1/90,8.666666667,71.33333333,1.233333333,1017.166667
5/1/90,6,86.83333333,3.7,1016.5
6/1/90,7,82.8,1.48,1018
7/1/90,7,78.6,6.3,1020
8/1/90,8.857142857,63.71428571,7.142857143,1018.714286
9/1/90,14,51.25,12.5,1017
10/1/90,11,62,7.4,1015.666667
11/1/90,15.71428571,51.28571429,10.57142857,1016.142857
12/1/90,14,74,13.22857143,1015.571429
1/1/91,15.83333333,75.16666667,4.633333333,1013.333333
2/1/91,12.83333333,88.16666667,0.616666667,1015.166667
3/1/91,14.71428571,71.85714286,0.528571429,1015.857143
4/1/91,13.83333333,86.66666667,0,1016.666667
5/1/91,16.5,80.83333333,5.25,1015.833333
6/1/91,13.83333333,92.16666667,8.95,1014.5
7/1/91,12.5,76.66666667,5.883333333,1021.666667
8/1/91,11.28571429,75.28571429,8.471428571,1020.285714
9/1/91,11.2,77,2.22,1021
10/1/91,9.5,79.66666667,3.083333333,1021.8
11/1/91,14,60.16666667,4.016666667,1020.5
12/1/91,13.83333333,60.66666667,6.166666667,1020.5
1/1/92,12.25,67,5.55,1020.75
2/1/92,12.66666667,64.16666667,6.8,1019.666667
3/1/92,12.85714286,65.57142857,5.557142857,1018.142857
4/1/92,14.83333333,56,3.7,1017.833333
5/1/92,14.125,65.5,3.2375,1016.625
6/1/92,14.71428571,70.42857143,1.057142857,1017.857143
7/1/92,16.2,65.6,2.96,1018.4
8/1/92,16,73,2.22,1016
9/1/92,16.28571429,77.57142857,1.328571429,1017.142857
10/1/92,18,65.57142857,1.857142857,1015.285714
11/1/92,17.42857143,74.28571429,11.11428571,1014.571429
12/1/92,16.625,92.375,9.725,1016.375
1/1/93,16.66666667,71.33333333,8.633333333,1018.666667
2/1/93,15.6,59.4,10.74,1018.6
3/1/93,14,70.42857143,9.257142857,1017.142857
4/1/93,15.42857143,61.28571429,9.257142857,1016.857143
5/1/93,15.25,71.5,3.475,1017.125
6/1/93,15.875,70.5,5.325,1016.5
7/1/93,15.33333333,70.33333333,7.416666667,1017.5
8/1/93,16.28571429,70.14285714,6.085714286,1016
9/1/93,17.33333333,63.83333333,4.333333333,1014.166667
10/1/93,19.16666667,65.33333333,10.18333333,1011.666667
