Rank,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2072,Killzone: Mercenary,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0
2148,Final Fantasy X / X-2 HD Remaster,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97
2737,Tearaway,Adventure,Sony Computer Entertainment Europe,0.17,0.39,0.0,0.19,0.75
3082,LEGO Marvel Super Heroes,Action,Warner Bros. Interactive Entertainment,0.15,0.35,0.0,0.16,0.66
3617,Soul Sacrifice,Role-Playing,Sony Computer Entertainment,0.18,0.09,0.22,0.06,0.56
3813,Batman: Arkham Origins Blackgate,Action,Warner Bros. Interactive Entertainment,0.2,0.2,0.0,0.13,0.53
3990,FIFA 14,Sports,Electronic Arts,0.11,0.25,0.01,0.13,0.5
4314,Tales of Hearts,Role-Playing,Namco Bandai Games,0.15,0.13,0.09,0.08,0.45
4360,God Eater 2,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45
4684,Danganronpa: Trigger Happy Havoc,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41
4987,Dragon's Crown,Role-Playing,Nippon Ichi Software,0.16,0.05,0.12,0.05,0.38
5068,Toukiden: The Age of Demons,Action,Tecmo Koei,0.05,0.05,0.25,0.03,0.38
5210,Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,Fighting,Marvelous Entertainment,0.13,0.02,0.16,0.05,0.36
5805,The Legend of Heroes: Trails of Cold Steel,Role-Playing,Nippon Ichi Software,0.08,0.05,0.14,0.04,0.31
6161,Sly Cooper: Thieves in Time,Platform,Sony Computer Entertainment Europe,0.16,0.06,0.0,0.05,0.28
6532,Muramasa: The Demon Blade,Role-Playing,Marvelous Entertainment,0.13,0.0,0.1,0.03,0.26
7320,Steins;Gate,Adventure,PQube,0.07,0.09,0.0,0.05,0.21
7338,Akiba's Trip: Undead & Undressed,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03,0.21
7730,Demon Gaze,Role-Playing,Nippon Ichi Software,0.06,0.03,0.08,0.02,0.2
7798,Conception II: Children of the Seven Stars,Role-Playing,Screenlife,0.13,0.0,0.04,0.02,0.19
7888,Valhalla Knights 3,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.19
8019,The Walking Dead: Season One,Adventure,Square Enix,0.14,0.0,0.01,0.03,0.18
8103,Hyperdimension Neptunia,Role-Playing,Compile Heart,0.09,0.0,0.07,0.02,0.18
8469,Phantasy Star Online 2,Role-Playing,Sega,0.0,0.0,0.16,0.0,0.16
8639,LEGO Legends of Chima: Laval's Journey,Adventure,Warner Bros. Interactive Entertainment,0.02,0.09,0.0,0.04,0.16
8835,Mind Zero,Role-Playing,GungHo,0.08,0.0,0.04,0.02,0.15
8990,Dynasty Warriors 8: Xtreme Legends,Action,Tecmo Koei,0.04,0.03,0.05,0.02,0.15
9159,Injustice: Gods Among Us,Fighting,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.02,0.14
9273,Football Manager 2014,Sports,Sega,0.0,0.1,0.0,0.04,0.14
9363,Hyperdimension Idol Neptunia PP,Misc,Namco Bandai Games,0.04,0.03,0.04,0.02,0.13
9504,MLB 13: The Show,Sports,Sony Computer Entertainment,0.11,0.0,0.0,0.02,0.13
9629,Dynasty Warriors: Gundam Reborn,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9706,One Piece: Pirate Warriors 2,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9726,Angry Birds Star Wars,Strategy,Activision,0.05,0.04,0.0,0.03,0.12
